,Period,household,time_of_day,daily_sum
249,P3,20,morning,1.6727857799866601
250,P3,20,afternoon,1.9245096468554228
251,P3,20,evening,2.032364426772326
252,P4,0,night,0.3450514536399231
253,P4,0,morning,0.11064814251695043
254,P4,0,afternoon,0.029957354402371832
255,P4,0,evening,0.7863244999954772
256,P4,1,night,0.8688476756567727
257,P4,1,morning,-1.6888035339774978
258,P4,1,afternoon,-1.4092814004416965
259,P4,1,evening,-0.10465196670286547
260,P4,2,night,-0.3957460603553356
261,P4,2,morning,-0.30388363333087315
262,P4,2,afternoon,0.35273178589820525
263,P4,2,evening,-0.7502368885958329
264,P4,3,night,-0.5354250528931621
265,P4,3,morning,-0.5944518288920962
266,P4,3,afternoon,-0.7556226271109382
267,P4,3,evening,-0.4488928742908613
268,P4,4,night,0.2614934848896162
269,P4,4,morning,-0.22682519153109434
270,P4,4,afternoon,0.2621711204450195
271,P4,4,evening,1.1830541527807135
272,P4,5,night,0.061952066978435374
273,P4,5,morning,0.1493296528275118
274,P4,5,afternoon,-0.20225641164027527
275,P4,5,evening,0.6144704865324293
276,P4,6,night,-0.2884925482280759
277,P4,6,morning,-0.6712056918705324
278,P4,6,afternoon,-0.7039895312853901
279,P4,6,evening,-0.12916447715030804
280,P4,7,night,3.4978058566365795
281,P4,7,morning,-1.4548869991860731
282,P4,7,afternoon,-0.8161766243094862
283,P4,7,evening,-0.3111432231894729
284,P4,8,night,-0.46184415503841414
285,P4,8,morning,-0.5533336880107911
286,P4,8,afternoon,-1.1378697344267745
287,P4,8,evening,-0.8906509430067261
288,P4,9,night,-0.47182122593397324
289,P4,9,morning,-0.060829733899158835
290,P4,9,afternoon,0.03239032750409938
291,P4,9,evening,-0.8163140906715473
292,P4,10,night,0.7291686831189461
293,P4,10,morning,-0.16986895193995294
294,P4,10,afternoon,0.136737840533741
295,P4,10,evening,0.3648158964318471
296,P4,11,night,-0.6734529104588363
297,P4,11,morning,0.41309491211055066
298,P4,11,afternoon,0.12214000192337685
299,P4,11,evening,-0.7315860654293006
300,P4,12,night,-0.4369014777995166
301,P4,12,morning,-1.704946211508677
302,P4,12,afternoon,-1.787473552587987
303,P4,12,evening,-1.378769629307971
304,P4,13,night,-0.19495750858220987
305,P4,13,morning,0.8943294498324917
306,P4,13,afternoon,1.7673704793803642
307,P4,13,evening,2.252545641215865
308,P4,14,night,-0.33463650112003646
309,P4,14,morning,-0.21799240571214684
310,P4,14,afternoon,-0.7615698946929381
311,P4,14,evening,-0.1688640864619264
312,P4,15,night,-0.4693269582100835
313,P4,15,morning,-0.0285443788368005
314,P4,15,afternoon,0.27460631629829274
315,P4,15,evening,1.6453281269797635
316,P4,16,night,0.6144323678200171
317,P4,16,morning,-1.65956396712857
318,P4,16,afternoon,-0.3958129383999208
319,P4,16,evening,-0.3516421534939429
320,P4,17,night,-0.4556084857286898
321,P4,17,morning,0.4727923610937786
322,P4,17,afternoon,0.7525503656154062
323,P4,17,evening,0.8633257556401601
324,P4,18,night,0.4585406350769071
325,P4,18,morning,0.9640779999200388
326,P4,18,afternoon,0.796884542135772
327,P4,18,evening,0.24598350882794162
328,P4,19,night,-0.2186530519591626
329,P4,19,morning,-0.06631215268333257
330,P4,19,afternoon,0.035904621984372366
331,P4,19,evening,0.6320555483751596
332,P4,20,night,-0.1450721541044147
333,P4,20,morning,1.418814180185139
334,P4,20,afternoon,1.4986621168118055
335,P4,20,evening,1.6469267689654667
336,P5,0,night,-0.7175065967371146
337,P5,0,morning,0.24256461424973028
338,P5,0,afternoon,0.26429371426216436
339,P5,0,evening,0.5498537721967396
340,P5,1,night,-0.24244097562218528
341,P5,1,morning,-1.4705897295308679
342,P5,1,afternoon,-1.641365007429519
343,P5,1,evening,-0.0004935336220462851
344,P5,2,night,-0.6283365256080558
345,P5,2,morning,0.33935299525428414
346,P5,2,afternoon,0.3788336825080957
347,P5,2,evening,-1.2169021941753628
348,P5,3,night,-0.7312250692185083
349,P5,3,morning,-0.05312388971918071
